Player,Tm,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,
Trevor Hudgins,RGV,23,17,17,653,119,297,0.401,82,218,0.376,37,79,0.468,0.539,36,42,0.857,9,32,41,93,28,5,30,55,373,
Jay Huff,SBL,24,19,19,497,110,173,0.636,14,35,0.4,96,138,0.696,0.676,23,29,0.793,39,111,150,29,7,66,27,47,272,
Elijah Hughes,WIS,24,16,10,530,85,188,0.452,50,128,0.391,35,60,0.583,0.585,17,20,0.85,8,60,68,32,16,10,23,38,259,
Feron Hunt,BIR,23,21,21,659,131,239,0.548,12,53,0.226,119,186,0.64,0.573,31,43,0.721,45,71,116,43,33,17,59,45,323,
Matthew Hurt,MHU,22,17,4,369,86,151,0.57,24,64,0.375,62,87,0.713,0.649,11,16,0.688,21,40,61,25,13,11,19,41,215,
Jonathan Isaac,LAK,25,3,0,53,16,39,0.41,1,12,0.083,15,27,0.556,0.423,8,11,0.727,4,16,20,6,0,6,4,5,47,
Wes Iwundu,STO,28,19,19,529,74,154,0.481,25,61,0.41,49,93,0.527,0.562,21,26,0.808,12,79,91,51,23,4,26,33,208,
Kadeem Jack,SXF,30,20,17,451,65,125,0.52,7,16,0.438,58,109,0.532,0.548,17,26,0.654,52,93,145,21,11,17,29,61,165,
Frank Jackson,SLC,24,17,17,575,128,263,0.487,56,128,0.438,72,135,0.533,0.593,41,49,0.837,11,41,52,45,10,2,41,44,378,
Isaiah Jackson,FWN,21,2,2,61,17,33,0.515,2,5,0.4,15,28,0.536,0.545,3,4,0.75,5,16,21,4,1,5,6,6,41,
Josh Jackson,STO,25,1,0,22,3,6,0.5,0,2,0,3,4,0.75,0.5,1,1,1,0,2,2,1,0,1,4,3,8,
Quenton Jackson,CCG,28,18,0,460,90,174,0.517,18,49,0.367,72,125,0.576,0.569,42,56,0.75,22,45,67,59,26,3,37,36,267,
Lacey James,GRG,29,16,0,114,10,29,0.345,0,1,0,10,28,0.357,0.345,6,12,0.5,20,20,40,1,3,6,9,27,30,
Damien Jefferson,MHU,25,15,0,303,54,113,0.478,18,50,0.36,36,63,0.571,0.558,8,10,0.8,9,50,59,16,11,1,14,10,141,
DaQuan Jeffries,WES,25,17,17,575,130,266,0.489,41,111,0.369,89,155,0.574,0.566,36,55,0.655,24,95,119,41,36,21,28,51,364,
Drake Jeffries,LAK,28,13,0,181,15,59,0.254,12,51,0.235,3,8,0.375,0.356,1,2,0.5,8,12,20,9,5,4,5,9,43,
John Jenkins,GLI,24,15,15,432,106,220,0.482,60,131,0.458,46,89,0.517,0.618,15,16,0.938,5,26,31,35,16,2,25,22,296,
Ty Jerome,SCW,25,1,0,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,
Pooh Jeter,GLI,39,14,0,211,31,68,0.456,17,32,0.531,14,36,0.389,0.581,8,8,1,1,19,20,25,3,1,16,7,89,
Alize Johnson,TOT,26,19,14,559,124,200,0.62,8,29,0.276,116,171,0.678,0.64,31,46,0.674,57,177,234,63,11,4,55,55,310,
Alize Johnson,AUS,26,11,7,296,61,110,0.555,6,24,0.25,55,86,0.64,0.582,18,26,0.692,28,93,121,18,8,1,27,27,160,
Jayce Johnson,SCW,19,18,14,462,71,122,0.582,0,0,,71,122,0.582,0.582,19,39,0.487,96,140,236,28,5,24,33,64,176,
London Johnson,GLI,28,16,6,415,58,147,0.395,9,37,0.243,49,110,0.445,0.425,23,30,0.767,11,23,34,52,13,6,33,50,165,
Theo John,CCG,21,8,1,97,6,9,0.667,0,0,,6,9,0.667,0.667,4,8,0.5,7,9,16,5,3,8,5,14,19,
Carlik Jones,WCB,25,13,13,513,127,245,0.518,29,75,0.387,98,170,0.576,0.578,39,48,0.813,7,43,50,95,19,1,35,20,347,
Jemerrio Jones,LAK,27,3,0,17,1,2,0.5,0,0,,1,2,0.5,0.5,0,1,0,1,1,2,2,0,0,1,3,2,
Kai Jones,GBO,22,12,11,328,79,109,0.725,2,7,0.286,77,102,0.755,0.734,14,17,0.824,22,88,110,18,14,26,23,35,183,
Lazeric Jones,WCB,32,10,1,124,12,31,0.387,2,10,0.2,10,21,0.476,0.419,3,4,0.75,2,5,7,17,8,1,9,16,32,
Shawndre Jones,MCC,28,20,0,364,62,150,0.413,16,51,0.314,46,99,0.465,0.467,14,21,0.667,6,21,27,98,7,0,22,33,159,
Johnny Juzang,SLC,31,16,7,505,108,252,0.429,50,137,0.365,58,115,0.504,0.528,38,42,0.905,12,75,87,54,5,5,47,28,328,
Kevin Kangu,OKL,27,4,0,33,1,10,0.1,0,7,0,1,3,0.333,0.1,0,0,,2,1,3,2,1,0,1,3,2,
Kylor Kelley,RAP,25,6,0,43,5,7,0.714,0,0,,5,7,0.714,0.714,1,3,0.333,2,3,5,3,0,2,1,8,12,
James Kelly Sr.,BIR,24,19,6,427,83,153,0.542,2,17,0.118,81,136,0.596,0.549,9,19,0.474,39,105,144,22,23,18,34,33,185,
Braxton Key,DEL,28,16,0,365,76,153,0.497,16,44,0.364,60,109,0.55,0.549,11,19,0.579,25,82,107,56,28,19,29,36,187,
