Player,Tm,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,
Marcus Dove,DAK,23,2,2,53,5,11,0.455,0,0,,5,11,0.455,0.455,3,6,0.5,1,7,8,2,3,4,5,8,13,
Andrew Drevo,IWA,22,2,2,60,7,18,0.389,2,8,0.25,5,10,0.5,0.444,3,3,1,4,7,11,8,1,0,2,7,19,
Mike Efevberha,IWA,27,2,2,65,12,41,0.293,3,11,0.273,9,30,0.3,0.329,7,7,1,2,7,9,6,3,1,7,4,34,
Moses Ehambe,IWA,,2,2,82,10,23,0.435,7,13,0.538,3,10,0.3,0.587,2,2,1,0,5,5,0,2,0,3,5,29,
Shy Ely,DAK,32,2,0,38,6,11,0.545,3,6,0.5,3,5,0.6,0.682,3,3,1,0,1,1,1,0,0,0,4,18,
Brandon Ewing,IWA,23,2,2,47,3,10,0.3,0,2,0,3,8,0.375,0.3,1,2,0.5,2,5,7,15,0,0,4,7,7,
Christian Eyenga,LOS,22,5,2,52,5,12,0.417,1,1,1,4,11,0.364,0.458,3,6,0.5,3,3,6,2,0,3,5,1,14,
Mustapha Farrakhan,BAK,23,1,0,1,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,1,1,0,
Gary Flowers,LOS,25,2,0,15,4,7,0.571,2,4,0.5,2,3,0.667,0.714,1,1,1,2,3,5,1,1,1,2,0,11,
Jeff Foote,SPR,24,3,3,91,10,27,0.37,0,0,,10,27,0.37,0.37,6,12,0.5,13,17,30,3,0,4,10,6,26,
Otis George,LOS,29,7,7,169,18,40,0.45,0,0,,18,40,0.45,0.45,15,21,0.714,9,30,39,8,3,3,7,19,51,
Kyle Gibson,CAN,20,6,6,202,35,72,0.486,9,24,0.375,26,48,0.542,0.549,34,40,0.85,4,22,26,12,4,0,21,20,113,
Kyle Goldcamp,ERI,20,3,0,70,9,19,0.474,0,0,,9,19,0.474,0.474,7,8,0.875,5,14,19,5,3,4,6,5,25,
Joey Graham,ERI,29,3,3,99,21,43,0.488,0,1,0,21,42,0.5,0.488,2,4,0.5,0,17,17,3,1,0,5,10,44,
Jeremy Green,ERI,,2,0,28,4,6,0.667,2,2,1,2,4,0.5,0.833,2,2,1,0,6,6,3,0,0,1,3,12,
Orien Greene,LOS,29,7,7,242,37,85,0.435,11,30,0.367,26,55,0.473,0.5,12,21,0.571,10,28,38,39,24,3,15,27,97,
Taylor Griffin,DAK,25,2,0,23,1,3,0.333,0,0,,1,3,0.333,0.333,3,4,0.75,1,4,5,2,0,0,0,1,5,
Zendon Hamilton,SPR,36,3,0,24,3,4,0.75,0,0,,3,4,0.75,0.75,3,4,0.75,1,1,2,0,0,0,3,4,9,
Stefhon Hannah,DAK,26,2,2,71,8,33,0.242,6,20,0.3,2,13,0.154,0.333,5,6,0.833,1,4,5,16,1,0,12,8,27,
Luke Harangody,CAN,24,3,3,98,20,41,0.488,5,14,0.357,15,27,0.556,0.549,4,5,0.8,4,18,22,5,1,0,8,9,49,
Frank Hassell,CAN,20,6,0,109,22,41,0.537,0,0,,22,41,0.537,0.537,3,4,0.75,19,27,46,2,3,6,10,18,47,
Dennis Horner,SPR,23,3,3,112,21,43,0.488,1,7,0.143,20,36,0.556,0.5,20,26,0.769,10,13,23,5,5,3,6,11,63,
Lance Hurdle,SPR,20,3,0,90,14,31,0.452,7,13,0.538,7,18,0.389,0.565,3,3,1,2,3,5,7,2,1,3,8,38,
Andre Ingram,LOS,26,7,0,121,10,34,0.294,8,25,0.32,2,9,0.222,0.412,9,12,0.75,0,8,8,6,1,0,5,5,37,
Carldell Johnson,AUS,29,9,3,243,27,60,0.45,13,24,0.542,14,36,0.389,0.558,13,15,0.867,3,19,22,39,14,0,18,17,80,
Damian Johnson,SPR,20,3,0,27,1,4,0.25,0,1,0,1,3,0.333,0.25,0,0,,1,2,3,0,0,2,0,5,2,
Justin Johnson,DAK,23,1,0,19,5,10,0.5,1,2,0.5,4,8,0.5,0.55,0,1,0,1,2,3,3,1,0,3,2,11,
Ravern Johnson,IWA,29,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,
Trey Johnson,BAK,27,4,0,107,16,49,0.327,2,3,0.667,14,46,0.304,0.347,24,31,0.774,0,12,12,11,4,0,7,8,58,
Jerome Jordan,ERI,25,3,3,105,22,33,0.667,0,0,,22,33,0.667,0.667,15,16,0.938,11,10,21,4,0,6,4,9,59,
Cory Joseph,AUS,20,7,7,240,30,73,0.411,3,13,0.231,27,60,0.45,0.432,19,25,0.76,8,30,38,34,9,2,9,21,82,
D.J. Kennedy,ERI,22,3,3,125,14,40,0.35,4,16,0.25,10,24,0.417,0.4,11,11,1,3,26,29,16,1,2,7,9,43,
Preston Knowles,SPR,30,2,0,15,0,3,0,0,2,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,
Adam Koch,BAK,30,4,4,100,12,22,0.545,0,0,,12,22,0.545,0.545,3,7,0.429,11,10,21,2,3,4,6,9,27,
Travis Leslie,BAK,21,4,0,56,9,17,0.529,0,1,0,9,16,0.563,0.529,2,4,0.5,5,3,8,2,3,0,8,3,20,
Leo Lyons,DAK,,2,0,30,5,10,0.5,2,4,0.5,3,6,0.5,0.6,1,2,0.5,2,6,8,2,1,1,5,7,13,
Renaldo Major,BAK,29,4,4,113,12,27,0.444,0,0,,12,27,0.444,0.444,12,16,0.75,3,10,13,9,3,2,8,9,36,
Keith McLeod,ERI,32,3,3,117,19,44,0.432,6,16,0.375,13,28,0.464,0.5,1,3,0.333,0,7,7,13,2,1,8,5,45,
Dante Milligan,CAN,23,6,6,146,21,37,0.568,0,0,,21,37,0.568,0.568,4,8,0.5,13,26,39,5,8,13,5,25,46,
Elijah Millsap,LOS,31,7,7,273,50,115,0.435,13,36,0.361,37,79,0.468,0.491,53,60,0.883,7,38,45,16,16,1,20,24,166,
Jamario Moon,LOS,31,1,1,39,7,11,0.636,5,7,0.714,2,4,0.5,0.864,6,8,0.75,0,5,5,3,1,0,1,3,25,
Nick Murphy,IWA,22,2,0,34,4,5,0.8,0,0,,4,5,0.8,0.8,8,10,0.8,2,3,5,2,3,1,2,3,16,
Ronald Murray,AUS,32,9,4,305,43,111,0.387,19,47,0.404,24,64,0.375,0.473,33,42,0.786,6,25,31,30,10,2,19,18,138,
Juan Pattillo,BAK,30,4,0,113,18,39,0.462,0,0,,18,39,0.462,0.462,18,23,0.783,8,27,35,8,7,7,11,10,54,
Marvin Phillips,ERI,28,2,0,18,4,9,0.444,0,0,,4,9,0.444,0.444,0,0,,3,4,7,0,0,0,2,1,8,
Kareem Rush,LOS,31,6,4,133,14,37,0.378,7,22,0.318,7,15,0.467,0.473,3,3,1,1,8,9,6,5,2,7,17,38,
Jamarr Sanders,AUS,31,6,0,52,5,11,0.455,1,3,0.333,4,8,0.5,0.5,0,0,,4,4,8,3,3,2,1,8,11,
Jerry Smith,SPR,24,3,3,120,14,36,0.389,6,17,0.353,8,19,0.421,0.472,12,16,0.75,1,18,19,17,11,3,7,10,46,
Tommy Smith,DAK,30,2,0,31,3,8,0.375,0,0,,3,8,0.375,0.375,4,6,0.667,2,8,10,2,2,3,2,3,10,
Kyle Spain,ERI,37,2,0,26,5,7,0.714,4,5,0.8,1,2,0.5,1,0,0,,0,4,4,0,1,0,1,1,14,
Curtis Stinson,IWA,28,2,0,48,16,34,0.471,0,1,0,16,33,0.485,0.471,3,3,1,0,7,7,9,1,0,14,11,35,
Trent Strickland,CAN,27,6,0,113,11,35,0.314,3,15,0.2,8,20,0.4,0.357,16,20,0.8,4,7,11,9,3,0,6,14,41,
Ben Strong,IWA,25,2,2,76,18,24,0.75,0,0,,18,24,0.75,0.75,5,5,1,6,17,23,2,0,3,1,9,41,
Adrian Thomas,BAK,24,4,0,55,6,15,0.4,5,13,0.385,1,2,0.5,0.567,0,0,,1,3,4,3,4,2,2,5,17,
Doug Thomas,IWA,26,2,0,38,4,8,0.5,0,0,,4,8,0.5,0.5,3,4,0.75,6,13,19,0,1,0,0,6,11,
Malcolm Thomas,LOS,23,7,1,243,44,72,0.611,1,2,0.5,43,70,0.614,0.618,36,48,0.75,28,58,86,17,8,7,17,21,125,
Terrance Thomas,CAN,31,5,0,87,11,27,0.407,1,7,0.143,10,20,0.5,0.426,8,9,0.889,10,13,23,1,3,0,8,0,31,
Mychel Thompson,ERI,23,3,3,103,6,27,0.222,2,12,0.167,4,15,0.267,0.259,6,6,1,1,12,13,6,3,0,2,9,20,
Michael Tveidt,IWA,22,1,0,15,1,3,0.333,1,2,0.5,0,1,0,0.5,0,0,,0,1,1,1,0,0,1,1,3,
Edwin Ubiles,DAK,25,2,2,61,10,23,0.435,2,4,0.5,8,19,0.421,0.478,1,6,0.167,0,11,11,7,1,1,3,1,23,
Jamie Vanderbeken,BAK,,4,0,32,1,4,0.25,1,4,0.25,0,0,,0.375,0,0,,1,7,8,0,2,5,0,6,3,
Travis Walton,CAN,22,6,0,43,0,9,0,0,0,,0,9,0,0,0,0,,2,5,7,3,1,1,4,5,0,
Brad Wanamaker,AUS,22,9,5,195,22,49,0.449,2,3,0.667,20,46,0.435,0.469,21,33,0.636,6,20,26,19,12,2,14,16,67,
L.D. Williams,SPR,23,3,3,122,18,43,0.419,10,20,0.5,8,23,0.348,0.535,15,18,0.833,5,11,16,8,7,2,5,9,61,
Jeremy Wise,BAK,25,4,4,134,19,51,0.373,1,13,0.077,18,38,0.474,0.382,22,26,0.846,4,4,8,21,5,2,8,10,61,
Terrance Woodbury,AUS,24,9,2,195,34,72,0.472,6,19,0.316,28,53,0.528,0.514,19,25,0.76,6,33,39,8,5,1,7,17,93,
Chris Wright,DAK,23,2,2,63,14,26,0.538,0,0,,14,26,0.538,0.538,5,7,0.714,6,15,21,2,2,8,4,9,33,
Julian Wright,AUS,24,9,9,284,75,124,0.605,0,2,0,75,122,0.615,0.605,28,42,0.667,26,44,70,10,11,15,8,30,178,
Luke Zeller,AUS,24,9,1,205,24,59,0.407,5,19,0.263,19,40,0.475,0.449,0,0,,3,36,39,3,5,8,2,26,53,
Blake Ahearn,ERI,26,3,3,101,13,35,0.371,7,18,0.389,6,17,0.353,0.471,11,12,0.917,0,6,6,20,0,0,8,10,44,2010-2003
Cole Aldrich,TUL,22,2,2,73,11,22,0.5,0,0,,11,22,0.5,0.5,3,4,0.75,7,18,25,4,4,7,3,6,25,
Joe Alexander,TEX,24,2,2,87,16,45,0.356,0,1,0,16,44,0.364,0.356,5,5,1,3,17,20,2,3,1,5,6,37,
Ronald Allen,TEX,30,2,0,14,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,1,1,2,0,0,0,2,3,2,
Connor Atchley,RGV,22,8,0,161,17,43,0.395,8,31,0.258,9,12,0.75,0.488,7,8,0.875,12,28,40,8,6,6,5,23,49,
Jermaine Beal,ERI,21,3,0,51,8,15,0.533,7,12,0.583,1,3,0.333,0.767,2,3,0.667,1,5,6,7,3,0,2,2,25,
D'Andre Bell,BAK,25,3,0,69,10,22,0.455,3,9,0.333,7,13,0.538,0.523,4,7,0.571,3,5,8,4,2,2,3,2,27,
Marqus Blakely,IWA,28,2,0,49,9,16,0.563,0,0,,9,16,0.563,0.563,6,12,0.5,7,12,19,0,2,2,5,8,24,
Matt Bouldin,TUL,27,3,2,51,3,17,0.176,0,8,0,3,9,0.333,0.176,2,2,1,4,8,12,8,5,0,6,3,8,
Jordan Brady,UTA,31,3,0,41,7,12,0.583,1,3,0.333,6,9,0.667,0.625,0,0,,3,9,12,6,2,0,4,6,15,
Brandon Brooks,TUL,23,4,0,96,13,29,0.448,2,7,0.286,11,22,0.5,0.483,8,10,0.8,4,9,13,19,5,3,4,3,36,
Derrick Byars,BAK,21,3,3,105,19,49,0.388,7,22,0.318,12,27,0.444,0.459,9,12,0.75,2,7,9,9,1,1,8,9,54,
Derrick Caracter,BAK,22,2,0,43,5,13,0.385,0,0,,5,13,0.385,0.385,4,15,0.267,7,13,20,1,1,3,10,7,14,
Mo Charlo,REN,27,5,0,164,20,35,0.571,0,1,0,20,34,0.588,0.571,19,28,0.679,10,25,35,5,4,3,1,15,59,
Brandon Costner,UTA,22,1,1,14,4,9,0.444,0,0,,4,9,0.444,0.444,1,1,1,3,7,10,0,0,0,2,1,9,
Marcus Cousin,RGV,24,3,0,23,4,6,0.667,0,0,,4,6,0.667,0.667,0,0,,2,1,3,0,0,2,1,7,8,
Erik Daniels,ERI,28,3,1,112,23,33,0.697,6,10,0.6,17,23,0.739,0.788,5,8,0.625,5,17,22,12,3,1,3,10,57,
Chris Davis,REN,22,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0,
Stephen Dennis,BAK,21,3,3,89,12,25,0.48,0,1,0,12,24,0.5,0.48,13,21,0.619,0,20,20,17,6,2,12,4,37,
Justin Dentmon,TEX,25,2,2,56,6,22,0.273,4,12,0.333,2,10,0.2,0.364,4,5,0.8,0,4,4,8,2,0,4,7,20,
Ronald Dupree,UTA,30,2,0,49,10,24,0.417,0,1,0,10,23,0.435,0.417,8,12,0.667,7,4,11,3,0,0,3,9,28,
Jerome Dyson,TUL,23,4,4,148,27,53,0.509,4,13,0.308,23,40,0.575,0.547,20,23,0.87,2,10,12,26,6,2,18,14,78,
Moses Ehambe,IWA,25,8,8,267,38,83,0.458,18,44,0.409,20,39,0.513,0.566,27,29,0.931,3,23,26,7,5,0,12,17,121,
Shy Ely,IWA,28,8,0,144,14,37,0.378,5,15,0.333,9,22,0.409,0.446,20,28,0.714,4,22,26,10,4,0,7,12,53,
Andre Emmett,REN,28,5,0,151,28,63,0.444,4,12,0.333,24,51,0.471,0.476,22,32,0.688,8,19,27,19,9,2,12,14,82,
Mouhammad Faye,RGV,32,8,8,219,29,79,0.367,16,52,0.308,13,27,0.481,0.468,28,38,0.737,12,39,51,6,4,6,17,33,102,
Courtney Fortson,REN,22,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,
Tony Gaffney,UTA,32,3,3,82,12,22,0.545,1,4,0.25,11,18,0.611,0.568,2,2,1,3,5,8,5,5,6,7,6,27,
Tiny Gallon,BAK,20,1,0,19,4,7,0.571,0,0,,4,7,0.571,0.571,4,7,0.571,2,4,6,2,0,1,4,0,12,
Charles Garcia,IWA,22,2,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,
Kyle Goldcamp,ERI,33,3,2,32,3,8,0.375,0,0,,3,8,0.375,0.375,0,0,,0,4,4,2,1,0,2,3,6,
Orien Greene,UTA,28,3,3,114,17,44,0.386,7,20,0.35,10,24,0.417,0.466,14,17,0.824,5,14,19,21,8,3,9,13,55,
Brian Hamilton,UTA,21,3,0,71,13,26,0.5,0,1,0,13,25,0.52,0.5,6,10,0.6,3,3,6,5,2,2,6,11,32,
Reece Hampton,TEX,25,1,0,11,1,4,0.25,0,1,0,1,3,0.333,0.25,0,0,,1,0,1,1,0,0,0,2,2,
Stefhon Hannah,IWA,25,8,8,268,44,107,0.411,18,45,0.4,26,62,0.419,0.495,18,25,0.72,4,35,39,27,18,0,23,25,124,
Terrel Harris,RGV,23,7,0,174,32,71,0.451,12,38,0.316,20,33,0.606,0.535,14,20,0.7,9,36,45,23,9,1,19,29,90,
Michael Haynes,IWA,,8,8,308,62,142,0.437,14,43,0.326,48,99,0.485,0.486,31,39,0.795,20,38,58,18,12,6,20,19,169,
Andre Ingram,UTA,25,3,3,87,16,39,0.41,9,22,0.409,7,17,0.412,0.526,7,9,0.778,4,7,11,5,0,0,2,5,48,
Matt Janning,RGV,,8,7,261,39,86,0.453,22,52,0.423,17,34,0.5,0.581,9,12,0.75,5,40,45,21,6,5,17,29,109,
Dominique Johnson,TEX,,2,2,68,8,16,0.5,4,9,0.444,4,7,0.571,0.625,2,2,1,1,4,5,9,4,0,5,8,22,
Ivan Johnson,ERI,26,3,3,111,26,46,0.565,3,7,0.429,23,39,0.59,0.598,14,18,0.778,4,23,27,9,4,3,13,16,69,
Trey Johnson,BAK,26,1,1,36,10,26,0.385,1,6,0.167,9,20,0.45,0.404,8,9,0.889,1,5,6,3,0,0,3,1,29,
Adam Koch,BAK,29,3,0,71,6,11,0.545,2,5,0.4,4,6,0.667,0.636,1,2,0.5,1,10,11,1,3,2,2,5,15,
Kevin Kruger,UTA,28,3,3,112,13,34,0.382,6,18,0.333,7,16,0.438,0.471,12,14,0.857,3,11,14,17,3,1,9,6,44,
Marcus Landry,REN,25,5,5,216,37,91,0.407,16,37,0.432,21,54,0.389,0.495,21,32,0.656,7,15,22,11,8,5,6,19,111,
Kelvin Lewis,RGV,27,5,0,31,3,6,0.5,1,3,0.333,2,3,0.667,0.583,4,4,1,3,2,5,3,2,1,1,3,11,
Marcus Lewis,TUL,25,4,1,124,14,35,0.4,0,0,,14,35,0.4,0.4,11,14,0.786,8,18,26,6,4,4,6,12,39,
Nate Linhart,ERI,25,3,3,111,9,30,0.3,2,10,0.2,7,20,0.35,0.333,1,2,0.5,5,12,17,8,4,2,3,10,21,
Rashad McCants,TEX,26,1,1,37,2,13,0.154,1,7,0.143,1,6,0.167,0.192,6,7,0.857,0,3,3,4,0,2,3,3,11,
Chaz McCrommon,ERI,26,1,0,3,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,0,1,0,0,0,0,
Jerel McNeal,RGV,23,8,8,331,69,155,0.445,21,56,0.375,48,99,0.485,0.513,62,74,0.838,14,42,56,52,10,3,25,33,221,
Elijah Millsap,TUL,23,4,4,148,29,65,0.446,6,14,0.429,23,51,0.451,0.492,16,24,0.667,3,25,28,9,5,1,11,13,80,
Tasmin Mitchell,ERI,24,3,3,123,23,42,0.548,0,0,,23,42,0.548,0.548,10,10,1,3,16,19,4,3,2,11,12,56,
Drew Naymick,BAK,24,3,3,75,7,12,0.583,0,0,,7,12,0.583,0.583,4,4,1,8,16,24,1,1,6,0,13,18,
Patrick O'Bryant,REN,24,5,4,76,10,20,0.5,1,3,0.333,9,17,0.529,0.525,2,4,0.5,2,22,24,4,4,4,4,8,23,
Nkem Ojougboh,UTA,28,3,2,83,13,23,0.565,0,0,,13,23,0.565,0.565,10,14,0.714,9,28,37,5,5,7,5,6,36,
Arinze Onuaku,RGV,23,6,0,65,12,23,0.522,0,0,,12,23,0.522,0.522,1,6,0.167,6,11,17,2,1,5,7,12,25,
Ryan Reid,TUL,24,4,4,111,11,23,0.478,0,0,,11,23,0.478,0.478,12,14,0.857,10,10,20,2,1,0,4,14,34,
Anthony Richardson,REN,25,5,5,189,36,74,0.486,1,4,0.25,35,70,0.5,0.493,22,31,0.71,9,20,29,10,9,8,10,19,95,
Chris Roberts,TEX,20,2,1,71,11,22,0.5,3,8,0.375,8,14,0.571,0.568,2,4,0.5,4,4,8,6,5,0,2,6,27,
Stanley Robinson,IWA,22,8,0,132,26,54,0.481,1,7,0.143,25,47,0.532,0.491,9,13,0.692,18,27,45,0,7,10,6,13,62,
Richard Roby,RGV,21,8,1,205,43,95,0.453,4,20,0.2,39,75,0.52,0.474,24,43,0.558,7,31,38,15,11,8,13,18,114,
Matt Rogers,TEX,24,2,0,11,1,2,0.5,0,0,,1,2,0.5,0.5,1,2,0.5,0,2,2,0,0,0,1,3,3,
Billy Rush,TUL,23,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,
Jon Scheyer,RGV,31,8,8,265,32,86,0.372,17,50,0.34,15,36,0.417,0.471,13,17,0.765,13,20,33,32,6,0,17,18,94,
Bobby Simmons,REN,30,5,5,175,22,53,0.415,1,13,0.077,21,40,0.525,0.425,21,22,0.955,10,21,31,4,3,3,9,20,66,
Donald Sloan,REN,30,5,5,202,32,52,0.615,1,4,0.25,31,48,0.646,0.625,20,24,0.833,4,22,26,34,8,0,18,11,85,
Kyle Spain,ERI,25,3,0,54,5,16,0.313,3,8,0.375,2,8,0.25,0.406,4,6,0.667,0,2,2,0,2,0,6,9,17,
Curtis Stinson,IWA,29,8,8,325,73,144,0.507,1,6,0.167,72,138,0.522,0.51,48,52,0.923,11,44,55,70,10,0,26,26,195,
Loren Stokes,ERI,24,3,0,21,3,9,0.333,0,0,,3,9,0.333,0.333,1,4,0.25,4,1,5,2,0,0,2,4,7,
Salim Stoudamire,REN,28,5,0,36,2,14,0.143,1,4,0.25,1,10,0.1,0.179,8,10,0.8,0,1,1,0,0,0,1,3,13,
Patrick Sullivan,RGV,25,8,7,195,35,59,0.593,0,0,,35,59,0.593,0.593,15,23,0.652,19,35,54,9,6,12,11,28,85,
Kenny Taylor,IWA,24,8,0,179,19,47,0.404,11,28,0.393,8,19,0.421,0.521,4,7,0.571,7,11,18,6,7,1,9,16,53,
Hasheem Thabeet,RGV,23,1,1,22,0,1,0,0,0,,0,1,0,0,3,4,0.75,3,3,6,2,0,1,1,5,3,
Doug Thomas,REN,23,3,1,22,1,2,0.5,0,0,,1,2,0.5,0.5,2,4,0.5,2,4,6,1,0,1,1,1,4,
Ryan Thompson,UTA,38,3,0,66,10,25,0.4,0,5,0,10,20,0.5,0.4,8,10,0.8,4,6,10,6,1,0,0,2,28,
Robert Vaden,TUL,25,4,0,129,24,50,0.48,12,25,0.48,12,25,0.48,0.6,7,8,0.875,0,17,17,6,3,1,5,9,67,
Scott VanderMeer,IWA,32,8,8,248,42,85,0.494,6,12,0.5,36,73,0.493,0.529,16,24,0.667,25,46,71,10,4,25,11,30,106,
Brandon Wallace,BAK,23,3,0,64,5,19,0.263,0,7,0,5,12,0.417,0.263,1,6,0.167,8,9,17,2,2,0,0,4,11,
Garrett Williamson,TUL,34,4,3,81,8,14,0.571,1,2,0.5,7,12,0.583,0.607,4,6,0.667,1,6,7,4,5,6,3,9,21,
Sean Williams,TEX,24,2,2,77,10,18,0.556,0,0,,10,18,0.556,0.556,4,5,0.8,15,16,31,3,0,8,7,7,24,
Jeremy Wise,BAK,30,3,2,94,20,42,0.476,1,12,0.083,19,30,0.633,0.488,29,32,0.906,3,10,13,10,4,1,12,10,70,
Booker Woodfox,TEX,24,2,0,48,8,16,0.5,4,4,1,4,12,0.333,0.625,4,5,0.8,1,6,7,6,0,0,5,1,24,
Luke Zeller,BAK,23,3,3,57,5,13,0.385,4,9,0.444,1,4,0.25,0.538,0,0,,2,12,14,4,2,5,2,9,14,
Wink Adams,TUL,24,7,4,188,26,68,0.382,12,27,0.444,14,41,0.341,0.471,9,10,0.9,3,23,26,31,3,1,6,18,73,
Antonio Anderson,RGV,24,8,8,319,56,109,0.514,3,11,0.273,53,98,0.541,0.528,28,38,0.737,7,41,48,57,12,6,28,20,143,
Stanley Asumnu,RGV,32,8,0,155,29,48,0.604,0,0,,29,48,0.604,0.604,2,4,0.5,9,10,19,6,6,2,5,15,60,
Connor Atchley,IWA,23,6,6,169,29,54,0.537,0,6,0,29,48,0.604,0.537,7,8,0.875,23,28,51,4,2,12,7,25,65,
David Bailey,SXF,22,3,3,112,11,28,0.393,4,10,0.4,7,18,0.389,0.464,5,7,0.714,2,7,9,16,3,1,7,9,31,
Maurice Baker,DAK,30,3,3,104,15,28,0.536,0,5,0,15,23,0.652,0.536,7,8,0.875,2,18,20,8,0,1,5,8,37,
Sean Barnette,RGV,8,2,0,10,1,2,0.5,0,0,,1,2,0.5,0.5,1,2,0.5,0,3,3,1,0,0,2,2,3,
Eddie Basden,AUS,26,6,6,236,30,72,0.417,11,29,0.379,19,43,0.442,0.493,7,15,0.467,18,30,48,11,8,1,7,19,78,
David Bell,DAK,27,3,0,67,10,22,0.455,8,17,0.471,2,5,0.4,0.636,1,2,0.5,0,2,2,6,2,0,3,6,29,
Rod Benson,REN,25,3,3,106,26,41,0.634,1,1,1,25,40,0.625,0.646,19,33,0.576,19,30,49,4,1,5,10,7,72,
Will Blalock,REN,26,3,3,106,9,28,0.321,1,5,0.2,8,23,0.348,0.339,15,19,0.789,1,12,13,23,6,0,8,12,34,
Luke Bonner,AUS,25,6,1,51,7,19,0.368,3,9,0.333,4,10,0.4,0.447,0,0,,3,10,13,2,0,4,4,17,17,
Justin Bowen,IWA,26,3,0,15,1,4,0.25,0,2,0,1,2,0.5,0.25,3,6,0.5,0,1,1,0,1,0,0,3,5,
Jordan Brady,UTA,27,3,0,46,7,14,0.5,0,2,0,7,12,0.583,0.5,0,1,0,1,10,11,3,1,0,1,8,14,
Cecil Brown,TUL,19,4,3,112,12,35,0.343,7,13,0.538,5,22,0.227,0.443,1,2,0.5,2,14,16,11,3,0,10,5,32,
Denham Brown,IWA,27,3,3,128,20,48,0.417,4,6,0.667,16,42,0.381,0.458,15,20,0.75,12,19,31,4,3,0,9,8,59,
Pat Carroll,IWA,19,6,6,254,30,91,0.33,12,41,0.293,18,50,0.36,0.396,17,17,1,8,22,30,12,9,3,7,18,89,
Mo Charlo,REN,26,3,3,62,5,13,0.385,1,2,0.5,4,11,0.364,0.423,11,12,0.917,3,8,11,6,0,5,5,8,22,
Lewis Clinch,AUS,23,3,0,36,7,13,0.538,5,8,0.625,2,5,0.4,0.731,4,5,0.8,1,7,8,1,0,1,1,3,23,
Dominique Coleman,AUS,22,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,1,0,
Will Conroy,RGV,27,8,8,307,57,124,0.46,5,24,0.208,52,100,0.52,0.48,31,42,0.738,6,48,54,71,13,1,28,25,150,
Darren Cooper,DAK,21,3,1,68,4,14,0.286,2,8,0.25,2,6,0.333,0.357,0,2,0,2,4,6,8,5,0,6,5,10,
Joe Darger,UTA,24,3,0,9,2,4,0.5,1,2,0.5,1,2,0.5,0.625,0,0,,0,1,1,0,0,0,0,1,5,
Bennet Davis,UTA,25,3,3,97,16,39,0.41,0,2,0,16,37,0.432,0.41,9,11,0.818,8,15,23,5,2,0,1,6,41,
Chris Davis,REN,23,2,0,10,2,3,0.667,0,0,,2,3,0.667,0.667,2,2,1,0,0,0,0,1,0,1,0,6,
Marcus Dove,DAK,21,3,3,103,13,23,0.565,0,0,,13,23,0.565,0.565,6,15,0.4,9,10,19,5,6,3,5,9,32,
Corsley Edwards,DAK,30,3,3,64,12,30,0.4,0,0,,12,30,0.4,0.4,7,10,0.7,6,13,19,1,1,3,13,10,31,
Moses Ehambe,TUL,26,8,0,164,21,52,0.404,9,26,0.346,12,26,0.462,0.49,11,12,0.917,3,7,10,4,3,1,4,9,62,
Shy Ely,IWA,21,5,0,27,2,6,0.333,1,3,0.333,1,3,0.333,0.417,2,4,0.5,1,0,1,1,0,0,2,3,7,
Brian Evans,IWA,21,5,0,17,2,5,0.4,0,0,,2,5,0.4,0.4,2,2,1,2,2,4,5,1,1,1,0,6,
Desmon Farmer,REN,28,3,3,95,16,35,0.457,4,18,0.222,12,17,0.706,0.514,12,15,0.8,1,10,11,6,2,0,11,12,48,
Richie Frahm,REN,32,3,0,90,13,27,0.481,9,22,0.409,4,5,0.8,0.648,8,10,0.8,0,9,9,2,2,0,0,5,43,
Alonzo Gee,AUS,22,6,6,232,51,91,0.56,4,13,0.308,47,78,0.603,0.582,22,35,0.629,15,29,44,3,8,7,15,18,128,
Mickell Gladness,RGV,23,3,0,10,0,0,,0,0,,0,0,,,0,2,0,0,0,0,0,0,1,0,2,0,
Leemire Goldwire,SXF,19,3,0,66,11,30,0.367,5,13,0.385,6,17,0.353,0.45,13,15,0.867,2,3,5,6,7,1,4,4,40,
Orien Greene,UTA,27,3,3,97,16,44,0.364,1,15,0.067,15,29,0.517,0.375,14,25,0.56,6,17,23,8,4,2,16,15,47,
Taylor Griffin,IWA,23,3,2,87,7,22,0.318,0,2,0,7,20,0.35,0.318,5,14,0.357,3,25,28,3,3,1,8,10,19,
